area_name,area_type,ref_period,crime_or_offence,measure_type,value
Inverclyde,Local Authority,2010/2011,offences-group-7-environmental-offences,count,21
Inverclyde,Local Authority,2010/2011,offences-group-6-racially-aggravated-conduct,count,21
Inverclyde,Local Authority,2010/2011,offences-group-6-threatening-and-abusive-behaviour,count,1281
Inverclyde,Local Authority,2010/2011,offences-group-6-drunkenness-and-other-disorderly-conduct,count,1075
Scottish Borders,Local Authority,2010/2011,crimes-group-2-rape-attempted-rape,count,22
Scottish Borders,Local Authority,2010/2011,crimes-group-2-sexual-assault,count,60
Scottish Borders,Local Authority,2010/2011,all-group-3-crimes-of-dishonesty,count,1527
Scottish Borders,Local Authority,2010/2011,crimes-group-1-robbery,count,17
Scottish Borders,Local Authority,2010/2011,crimes-group-3-housebreaking,count,203
Scottish Borders,Local Authority,2010/2011,crimes-group-3-theft-by-opening-lockfast-places,count,67
Scottish Borders,Local Authority,2010/2011,crimes-group-2-crimes-associated-with-prostitution,count,1
Scottish Borders,Local Authority,2010/2011,crimes-group-2-other-sexual-crimes,count,10
East Lothian,Local Authority,2010/2011,crimes-group-1-serious-assault-and-attempted-murder,count,44
East Lothian,Local Authority,2010/2011,crimes-group-1-causing-death-by-driving-dangerously,count,1
East Lothian,Local Authority,2010/2011,crimes-group-1-other-non-sexual-violence,count,81
East Lothian,Local Authority,2010/2011,crimes-group-1-common-assault,count,756
Scottish Borders,Local Authority,2010/2011,all-group-1-non-sexual-crimes-of-violence,count,885
Scottish Borders,Local Authority,2010/2011,all-group-2-sexual-crimes,count,106
East Lothian,Local Authority,2010/2011,crimes-group-1-murder-and-culpable-homicide,count,3
Scottish Borders,Local Authority,2010/2011,all-crimes,count,4495
East Ayrshire,Local Authority,2010/2011,crimes-group-5-crimes-against-public-justice,count,730
East Ayrshire,Local Authority,2010/2011,crimes-group-4-fire-raising,count,89
Scottish Borders,Local Authority,2010/2011,offences-group-6-urinating-etc,count,143
East Ayrshire,Local Authority,2010/2011,offences-group-6-urinating-etc,count,353
East Ayrshire,Local Authority,2010/2011,crimes-group-3-other-theft,count,1451
East Ayrshire,Local Authority,2010/2011,crimes-group-3-shoplifting,count,648
East Ayrshire,Local Authority,2010/2011,crimes-group-3-other-dishonesty,count,86
East Ayrshire,Local Authority,2010/2011,crimes-group-3-fraud,count,150
Scottish Borders,Local Authority,2010/2011,crimes-group-3-other-theft,count,652
Scottish Borders,Local Authority,2010/2011,crimes-group-3-fraud,count,105
Scottish Borders,Local Authority,2010/2011,crimes-group-3-theft-from-a-motor-vehicle,count,39
Scottish Borders,Local Authority,2010/2011,crimes-group-3-shoplifting,count,319
Scottish Borders,Local Authority,2010/2011,crimes-group-4-fire-raising,count,41
Scottish Borders,Local Authority,2010/2011,crimes-group-5-crimes-against-public-justice,count,381
